"MaterialType","Materials_Details_EN","Notes"
"炭化材(クリ, コナラ)","carbonized material chestnut (Castanea crenata) oak (Quercus sp.) / ?Jolcham Oak (Quercus serrata)",""
"炭化材(クリ, 広葉樹)","carbonized material hardwoodchestnut (Castanea crenata)",""
"炭化材(クリ,カエデ属)","carbonized material chestnut (Castanea crenata) maple (Acer sp.)",""
"炭化材(クリ,ブナ属)","carbonized material chestnut (Castanea crenata) beech (Fagus sp.)",""
"炭化材(クリ、カエデ属)","carbonized material chestnut (Castanea crenata) maple (Acer sp.)",""
"炭化材(クリ、サクラ属、カエデ属、ブナ属)","carbonized material chestnut (Castanea crenata) maple (Acer sp.) Cherry, plum etc (Cerasus, Prunus etc) beech (Fagus sp.)",""
"炭化材(クリ、マツ属複維管束亜属)","carbonized material chestnut (Castanea crenata) pine (Pinus sp.) subgen compound vascular",""
"炭化材(クリ、ヤマグワ)","carbonized material chestnut (Castanea crenata) Chinese mulberry (Morus australis syn bombycis)",""
"炭化材（クリ、最終形成年輪、外側4年輪分）","carbonized material year ring chestnut (Castanea crenata)",""
"炭化材(クリ、広葉樹)","carbonized material hardwoodchestnut (Castanea crenata)",""
"炭化材(クリ、散孔材)","carbonized material chestnut (Castanea crenata)",""
"炭化材(クリ、樹皮)","carbonized material bark chestnut (Castanea crenata)",""
"炭化材(クリ:1年輪分)","carbonized material year ring chestnut (Castanea crenata)",""
"炭化材(クリ?)","carbonized material chestnut (Castanea crenata)",""
"炭化材(クリ)","carbonized material chestnut (Castanea crenata)",""
"炭化材(クリ）","carbonized material chestnut (Castanea crenata)",""
"炭化材（クリ）","carbonized material chestnut (Castanea crenata)",""
"炭化材(クリ) 2年輪","carbonized material year ring chestnut (Castanea crenata)",""
"炭化材(クリ)･土壌","carbonized material soil chestnut (Castanea crenata)",""
"炭化材（クリ）最終形成年輪","final outermost ring, chestnut (Castanea crenata)",""
"炭化材(クリ−シイノキ属)","carbonized material chestnut (Castanea crenata) chinquapin (Castanopsis sp.)",""
"炭化材(クリまたはコナラ節)","carbonized material chestnut (Castanea crenata) Jolcham oak (Quercus serrata)",""
"炭化材(クリまたはシイノキ属)","carbonized material chestnut (Castanea crenata) chinquapin (Castanopsis sp.)",""
"炭化材(クリまたはシイ属)","carbonized material chestnut (Castanea crenata) chinquapin (Castanopsis sp.)",""
"炭化材(クリ材)","carbonized material chestnut (Castanea crenata)",""
"炭化材(クリ近似種)","carbonized material or similar chestnut (Castanea crenata)",""
"炭化材(クリ類似種)","carbonized material or similar chestnut (Castanea crenata)",""
"炭化材(クルミ属)","carbonized material walnut (Juglans)",""
"炭化材（クロウメモドキ属）","carbonized material, buckthorn (Rhamnus sp.)",""
"炭化材(クロモジ属)","carbonized material spicebush (Lindera umbellata)",""
"炭化材(クワ)","carbonized material mullberry (Morus sp.)",""
"炭化材(クワ属)","carbonized material mullberry (Morus sp.)",""
"炭化材(クワ属＆クマシデ属)","carbonized material hornbeam (Carpinus sp.) mullberry (Morus sp.)",""
"炭化材(ケヤキ、シキミ)","carbonized material Japanese star anise (Illicum religiosum) Japanese zelkova (Zelkowa serrata)",""
"炭化材(ケヤキ)","carbonized material Japanese zelkova (Zelkowa serrata)",""
"炭化材（ケヤキ）","carbonized material Japanese zelkova (Zelkowa serrata)",""
"炭化材(ケンポナシ)","carbonized material Japanese raisin tree (Hovenia sp.)",""
"炭化材(ケンポナシ属)","carbonized material Japanese raisin tree (Hovenia sp.)",""
"炭化材(コウヤマキ)","carbonized material Japanese umbrella pine (Sciadopitys verticillata)",""
"炭化材（コウヤマキ）","charred wood, Japanese umbrella pine (Sciadopitys verticillata)",""
"炭化材(コクサギ)","carbonized material harlequin gloryblower (Clerodendrum trichotomum)",""
"炭化材(コジイ)","carbonized material chinquapin (Castanopsis?)",""
"炭化材(コナラ)","carbonized material oak (Quercus sp.) / ?Jolcham Oak (Quercus serrata)",""
"炭化材（コナラ）","carbonized material oak (Quercus sp.) / ?Jolcham Oak (Quercus serrata)",""
"炭化材(コナラ亜属)","carbonized material oak (Quercus sp.) / ?Jolcham Oak (Quercus serrata)",""
"炭化材(コナラ亜属クヌギ節)","carbonized material saw-tooth oak (Quercus acutissima) oak (Quercus sp.) / ?Jolcham Oak (Quercus serrata)",""
"炭化材（コナラ亜属クヌギ節）","carbonized material, saw-tooth oak (Quercus acutissima)",""
"炭化材(コナラ亜属コナラ節)","carbonized material Jolcham oak (Quercus serrata)",""
"炭化材(コナラ属)","carbonized material oak (Quercus sp.)",""
"炭化材（コナラ属）","carbonized material oak (Quercus sp.)",""
"炭化材(コナラ属アカガシ亜属 シイノキ属 広葉樹(散孔材))","carbonized material hardwood oak (Quercus sp.) chinquapin (Castanopsis sp.) Japanese evergreen oak (Quercus acuta)",""
"炭化材(コナラ属アカガシ亜属･カキノキ属)",,"Needs translation"
"炭化材(コナラ属アカガシ亜属, クスノキ科. イネ科)","carbonized material Poaceae oak (Quercus sp.) Lauraceae camphor tree (Cinnamomum camphora) Japanese evergreen oak (Quercus acuta)",""
"炭化材(コナラ属アカガシ亜属、サクラ属、ユズリハ属)","carbonized material oak (Quercus sp.) Japanese evergreen oak (Quercus acuta) Cherry, plum etc (Cerasus, Prunus etc) yuzuriha (Daphniphyllum sp.)",""
"炭化材(コナラ属アカガシ亜属､ニガキ)",,"Needs translation"
"炭化材(コナラ属アカガシ亜属?)","carbonized material oak (Quercus sp.) Japanese evergreen oak (Quercus acuta)",""
"炭化材(コナラ属アカガシ亜属)","carbonized material oak (Quercus sp.) Japanese evergreen oak (Quercus acuta)",""
"炭化材（コナラ属アカガシ亜属）","carbonized material, ring-cupped oaks (Quercus subgenus Cyclobalanopsis)",""
"炭化材(コナラ属アカガシ亜属•1年輪)","carbonized material year ring oak (Quercus sp.) Japanese evergreen oak (Quercus acuta)",""
"炭化材(コナラ属アカガシ亜属•1年輪未満)","carbonized material year ring oak (Quercus sp.) Japanese evergreen oak (Quercus acuta)",""
"炭化材(コナラ属アカガシ亜属•4年輪？)","carbonized material year ring oak (Quercus sp.) Japanese evergreen oak (Quercus acuta)",""
"炭化材（コナラ属アカガシ亜属ブナ科）","carbonized material oak (Quercus sp.) Japanese evergreen oak (Quercus acuta) Fagaceae",""
"炭化材(コナラ属クヌギ)","carbonized material oak (Quercus sp.) saw-tooth oak (Quercus acutissima)",""
"炭化材(コナラ属クヌギ節)","carbonized material oak (Quercus sp.) saw-tooth oak (Quercus acutissima)",""
"炭化材(コナラ属クヌギ節とヒノキ属)","carbonized material oak (Quercus sp.) saw-tooth oak (Quercus acutissima) cypress (Chamaecyparis sp.)",""
"炭化材(コナラ属コナラ亜属)","carbonized material oak (Quercus sp.)",""
"炭化材(コナラ属コナラ亜属クヌギ節･クリ)","carbonized material chestnut (Castanea crenata) oak (Quercus sp.) saw-tooth oak (Quercus acutissima)",""
"炭化材(コナラ属コナラ亜属クヌギ節)","carbonized material oak (Quercus sp.) saw-tooth oak (Quercus acutissima)",""
"炭化材（コナラ属コナラ亜属クヌギ節）","carbonized material oak (Quercus sp.) saw-tooth oak (Quercus acutissima)",""
"炭化材(コナラ属コナラ亜属コナラ節、ニレ属)","carbonized material oak (Quercus sp.) Jolcham oak (Quercus serrata) Elm (Ulmus sp.)",""
"炭化材(コナラ属コナラ亜属コナラ節?)","carbonized material oak (Quercus sp.) Jolcham oak (Quercus serrata)",""
"炭化材(コナラ属コナラ亜属コナラ節)","carbonized material oak (Quercus sp.) Jolcham oak (Quercus serrata)",""
"炭化材（コナラ属コナラ亜属コナラ節）","carbonized material oak (Quercus sp.) Jolcham oak (Quercus serrata)",""
"炭化材(コナラ属コナラ亜属の一種:ブナ科)","carbonized material oak (Quercus sp.) Fagaceae",""
"炭化材(コナラ属コナラ亜科)","carbonized material oak (Quercus sp.)",""
"炭化材(コナラ属コナラ亜科クヌギ節)","carbonized material oak (Quercus sp.) saw-tooth oak (Quercus acutissima)",""
"炭化材(コナラ属コナラ亜科コナラ節･エゴノキ属)","carbonized material oak (Quercus sp.) Jolcham oak (Quercus serrata) snowbell tree (Styrax sp.)",""
"炭化材(コナラ属コナラ亜科コナラ節)","carbonized material oak (Quercus sp.) Jolcham oak (Quercus serrata)",""
"炭化材(コナラ属コナラ亜種クヌギ節)","carbonized material oak (Quercus sp.) saw-tooth oak (Quercus acutissima)",""
"炭化材(コナラ属コナラ亜種コナラ節)","carbonized material oak (Quercus sp.) Jolcham oak (Quercus serrata)",""
"炭化材(コナラ属コナラ節？)","carbonized material oak (Quercus sp.) Jolcham oak (Quercus serrata)",""
"炭化材(コナラ属コナラ節)","carbonized material oak (Quercus sp.) Jolcham oak (Quercus serrata)",""
"炭化材(コナラ属コナラ節）",,"Needs translation"
"炭化材（コナラ属コナラ節）","carbonized material oak (Quercus sp.) Jolcham oak (Quercus serrata)",""
"炭化材(コナラ属コナラ節コナラ節)","carbonized material oak (Quercus sp.) Jolcham oak (Quercus serrata)",""
"炭化材(コナラ族アカガシ亜属)","carbonized material Japanese evergreen oak (Quercus acuta) oak (Quercus sp.) / ?Jolcham Oak (Quercus serrata)",""
"炭化材(コナラ節, クリ)","carbonized material chestnut (Castanea crenata) Jolcham oak (Quercus serrata)",""
"炭化材(コナラ節,4年輪)","carbonized material year ring Jolcham oak (Quercus serrata)",""
"炭化材(コナラ節、エゴノキ属、ガマズミ属、サクラ属)","carbonized material Jolcham oak (Quercus serrata) snowbell tree (Styrax sp.) Viburnum (Viburnum sp.) Cherry, plum etc (Cerasus, Prunus etc)",""
"炭化材(コナラ節)","carbonized material Jolcham oak (Quercus serrata)",""
"炭化材（コナラ節）","carbonized material Jolcham oak (Quercus serrata)",""
"炭化材(ゴンズイ)","carbonized material Asian sweetheart tree (Euscaphis japonica)",""
"炭化材（サカキ、ミカン割状、樹皮無、年輪数14年以上、測定試料は外8年分）","sample of 14 annual rings, no bark, sample for outside 8 years, Sakaki (Cleyera japonica)",""
"炭化材(サカキ)","carbonized material Sakaki (Cleyera japonica)",""
"炭化材（サカキ）","carbonized material, Sakaki (Cleyera japonica)",""
"炭化材（サカキ近似種）","carbonized material or similar, Sakaki (Cleyera japonica)",""
"炭化材(サガリバナ)",,"Needs translation"
"炭化材(サクラ属､ケヤキ、タケ類)","carbonized material Cherry, plum etc (Cerasus, Prunus etc) Japanese zelkova (Zelkowa serrata) bamboo (Bambusoideae)",""
"炭化材(サクラ属)","carbonized material Cherry, plum etc (Cerasus, Prunus etc)",""
"炭化材(サクラ属）","carbonized material Cherry, plum etc (Cerasus, Prunus etc)",""
"炭化材（サクラ属）","carbonized material, Cherry, plum etc (Cerasus, Prunus etc) cherry (Cerasus sp.)",""
"炭化材(サワラ)","carbonized material sawara cypress (Chamaecyparis pisifera)",""
"炭化材(サンショウ属)","carbonized material pepper tree (Zanthoxylum sp.) prickly ash (Zanthoxylum piperitum)",""
"炭化材(シイノキ属，より外側〜4年輪分)","carbonized material year ring chinquapin (Castanopsis sp.)",""
"炭化材(シイノキ属，より外側〜5年輪分)","carbonized material year ring chinquapin (Castanopsis sp.)",""
"炭化材(シイノキ属，最外？〜5年輪分)","carbonized material outermost year ring chinquapin (Castanopsis sp.)",""
"炭化材(シイノキ属?)",,"Needs translation"
"炭化材(シイノキ属)","carbonized material chinquapin (Castanopsis sp.)",""
"炭化材（シイノキ属）","carbonized fragments, chinquapin (Castanopsis sp.)",""
"炭化材(シイノキ属)中心部","carbonized material chinquapin (Castanopsis sp.)",""
"炭化材(シイノキ属近似種)","carbonized material or similar chinquapin (Castanopsis sp.)",""
"炭化材(シイノキ属類似)",,"Needs translation"
"炭化材(シイノキ科)",,"Needs translation"
"炭化材(シイ属､ブナ科)","carbonized material chinquapin (Castanopsis sp.) Fagaceae",""
"炭化材(シイ属:オキナワジイ)",,"Needs translation"
"炭化材(シイ属)","carbonized material chinquapin (Castanopsis sp.)",""
"炭化材(シキミ?)","carbonized material Japanese star anise (Illicum religiosum)",""
"炭化材(シキミ)","carbonized material Japanese star anise (Illicum religiosum)",""
"炭化材(シキミ属)",,"Needs translation"
"炭化材(シナノキ属?)","carbonized material Linden/Lime (Tilia sp.)",""
"炭化材(シナノキ属)","carbonized material Linden/Lime (Tilia sp.)",""
"炭化材(シャシャンボ)","carbonized material sea bilberry (Vaccinium bracteatum)​",""
"炭化材(シラキ)","carbonized material tallow tree (Neoshirakia japonica syn. Sapium japonicum)",""
"炭化材(シラキ属)","carbonized material tallow tree (Neoshirakia japonica syn. Sapium japonicum)",""
"炭化材(シロカシorウラジロガシ)",,"Needs translation"
"炭化材(シロダモ属)","carbonized material shirodamo (Neolitsea sp.)",""
"炭化材(シロモジ節､クスノキ科)","carbonized material Lauraceae camphor tree (Cinnamomum camphora) Spicebush (Lindera triloba)",""
"炭化材(スギ )","carbonized material Japanese cedar (Cryptomeria japonica)",""
"炭化材(スギ?)","carbonized material Japanese cedar (Cryptomeria japonica)",""
"炭化材(スギ)","carbonized material Japanese cedar (Cryptomeria japonica)",""
"炭化材（スギ）","charred wood, Japanese cedar (Cryptomeria japonica)",""
"炭化材(スギ) 1-5年輪","carbonized material year ring Japanese cedar (Cryptomeria japonica)",""
"炭化材(スギ) 11-15年輪","carbonized material year ring Japanese cedar (Cryptomeria japonica)",""
"炭化材(スギ) 21-24年輪","carbonized material year ring Japanese cedar (Cryptomeria japonica)",""
"炭化材(ススキ属:直径3㎜)","carbonized material silvergrass (Miscanthus sp.)",""
"炭化材(ススキ属)","carbonized material silvergrass (Miscanthus sp.)",""
"炭化材(スダジイ)","carbonized material Itajii tree (Castanopis sieboldi)",""
"炭化材（スダジイ）","carbonized material, Itajii tree (Castanopis sieboldi)",""
"炭化材(スノキ属)","carbonized material Blueberry etc (Vaccinium sp.)",""
"炭化材(スノキ属)(部位不明)","unknown carbonized material Blueberry etc (Vaccinium sp.)",""
"炭化材(センダン)","carbonized material chinaberry tree (Melia azedarach)",""
"炭化材(タイミンタチバナ)","carbonized material colicwood (Myrsine seguinii)",""
"炭化材(タカノツメ)","carbonized material Takanotsume (Gamblea innovans)",""
"炭化材(タケ)","carbonized material bamboo (Bambusoideae)",""
"炭化材（タケ）",,"Needs translation"
"炭化材（タケ亜科、破片、樹皮無、測定試料は全量）","carbonized material without bark fragments sample, bamboo (Bambusoideae) bamboo",""
"炭化材(タケ亜科)","carbonized material bamboo (Bambusoideae)",""
"炭化材（タケ亜科）","carbonized material, bamboo (Bambusoideae) bamboo",""
"炭化材(タニウツギ属)","carbonized material deutzia (Deutzia sp.)",""
"炭化材(タブノキ)","carbonized material Japanese bay tree (Machilus thunbergii)",""
"炭化材(タブノキ属)","carbonized material bay tree (Machilus sp.)",""
"炭化材(タラノキ)","carbonized material devil's walking stick tree (Aralia elata)",""
"炭化材(チドリノキ)","carbonized material hornbeam maple (Acer carpinifolium)",""
"炭化材(ツガ属)","carbonized material Tsuga (Tsuga sp.) tsuga (Tsuga sp.)",""
"炭化材(ツクバネウツギ属)","carbonized material deutzia (Deutzia sp.)",""
"炭化材(ツゲ属)","carbonized material Tsuga (Tsuga sp.)",""
"炭化材(ツツジ属)","carbonized material rhododendron (Rhododendron sp.)",""
"炭化材（ツバキ属、ミカン割状、樹皮有、年輪数9年、測定試料は外5年分）","carbonized material bark year ring sample, camellia (Camellia sp.)",""
"炭化材(ツバキ属)","carbonized material camellia (Camellia sp.)",""
"炭化材(ツバキ属近似種)","carbonized material or similar camellia (Camellia sp.)",""
"炭化材(ツバキ科ツバキ属)","carbonized material camellia (Camellia sp.)",""
"炭化材(ツブラジイ)","carbonized material Japanese Chinquapin (Castanopsis cuspidata)",""
"炭化材（ツブラジイ）","carbonized material, Japanese Chinquapin (Castanopsis cuspidata)",""
"炭化材(ツブラジイ−コナラ属)","carbonized material oak (Quercus sp.) Japanese Chinquapin (Castanopsis cuspidata)",""
"炭化材(ツルウメモドキ属)","carbonized material Asian bittersweet (Celastrus sp.)",""
"炭化材(つる植物)","carbonized plant material vine",""
"炭化材(トウヒ属-カラマツ属)","carbonized material larch (Larix sp.) spruce (Picea sp.)",""
"炭化材(トウヒ属?）","carbonized material spruce (Picea sp.)",""
"炭化材(トウヒ属？の一種)","carbonized material spruce (Picea sp.)",""
"炭化材(トウヒ属)","carbonized material spruce (Picea sp.)",""
"炭化材(トウヒ属バラモミ節の一種)","carbonized material fir (Abies sp.) spruce (Picea sp.)",""
"炭化材(トウヒ属またはカラマツ属)","carbonized material larch (Larix sp.) spruce (Picea sp.)",""
"炭化材(トガサワラ)","carbonized material sawara cypress (Chamaecyparis pisifera)",""
"炭化材(トチノキ)","carbonized material horse chestnut (Aesculus turbinata) Aesculus??",""
"炭化材(トネリコ)","carbonized material Japanese ash (Fraxinus japonica)​",""
"炭化材（トネリコ）","carbonized material Japanese ash (Fraxinus japonica)​",""
"炭化材(トネリコ属)","carbonized material Ash (Fraxinus sp.)",""
"炭化材（トネリコ属）","carbonized material Ash (Fraxinus sp.)",""
"炭化材(トネリコ属クヌギ節)",,"Needs translation"
"炭化材(トネリコ属シオジ節)","carbonized material Ash (Fraxinus sp.) Ash (Fraxinus platypoda)",""
"炭化材（トネリコ属根材）","carbonized material root, Ash (Fraxinus sp.)",""
"炭化材（トネリコ節）最終形成年輪、3年輪分","carbonized material year ring Japanese ash (Fraxinus japonica)​",""
"炭化材(トネリコ類)","carbonized material Japanese ash (Fraxinus japonica)​",""
"炭化材(ナシ亜属)","carbonized material Pear (Pyrus sp.) Pear (Pyrus sp.)",""
"炭化材(ナシ亜科)","carbonized material Pear (Pyrus)=Maleae subfamily",""
"炭化材(ナツツバキ属)","carbonized material camellia (Camellia sp.)",""
"炭化材(ナナカマド属)","carbonized material Sorbus (Sorbus sp.)",""
"炭化材(ナナカマド近似種)","carbonized material or similar",""
"炭化材(ナラ)","carbonized material",""
"炭化材(ナラ類)","carbonized material oaks",""
"炭化材(ニガキ)","carbonized material bitterwood (Picrasma quassioides)​",""
"炭化材(ニシキギ属)","carbonized material spindle tree (Euonymus sp.)",""
"炭化材（ニレ属(5)）","carbonized material Elm (Ulmus sp.)",""
"炭化材(ニレ属)","carbonized material Elm (Ulmus sp.)",""
"炭化材（ニレ属）","carbonized material Elm (Ulmus sp.)",""
"炭化材(ニレ科)","carbonized material Ulmaceae",""
"炭化材(ニレ科エノキ属)","carbonized material hackberry (Celtis sp.) Ulmaceae",""
"炭化材(ニレ科ケヤキ属)","carbonized material Japanese zelkova (Zelkowa serrata) Ulmaceae",""
"炭化材(ニレ科ニレ属)","carbonized material Elm (Ulmus sp.) Ulmaceae",""
"炭化材(ニワトコ)","carbonized material Elderberry (Sambucus sp.)",""
"炭化材(ヌルデ)","carbonized material Chinese sumac (Brucea javanica syn. Rhus)​",""
"炭化材(ネジキ)","carbonized material nejiki (Lyonia ovalifolia)",""
"炭化材(ネズコ?)","carbonized material Japanese arborvitae (Thuja standishii)​",""
"炭化材(ネズコ)","carbonized material Japanese arborvitae (Thuja standishii)​",""
"炭化材(ネムノキ)","carbonized material silk tree (Albizia julibrissin)",""
"炭化材（ネムノキ)","carbonized material silk tree (Albizia julibrissin)",""
"炭化材(ハイノキ)","carbonized material hainoki (Symplocos sp.)",""
"炭化材(ハイノキ属)","carbonized material hainoki (Symplocos sp.)",""
"炭化材(ハイノキ属サワフタギ節)","carbonized material hainoki (Symplocos sp.) sawafutagi (Symplocos chinensis)",""
"炭化材(ハイノキ属ハイノキ節)","carbonized material hainoki (Symplocos sp.)",""
"炭化材(ハイノキ節)","carbonized material hainoki (Symplocos sp.)",""
"炭化材(ハコヤナギ属)","carbonized material Aspen (Populus sp.) willow (Salix sp.)",""
"炭化材（ハコヤナギ属）","carbonized material Aspen (Populus sp.) willow (Salix sp.)",""
"炭化材(ハシドイ)","carbonized material Japanese tree lilac (Syringa reticulata)",""
"炭化材(ハシバミ属)","carbonized material hazel (Corylus sp.)",""
"炭化材(ハゼノキorヤマハゼ?)","carbonized material wax tree (Toxicodendron succedaneum syn. Rhus) wax tree (Toxicodendron sylvestris syn. Rhus)",""
"炭化材(ハゼノキ類)","carbonized material wax tree (Toxicodendron succedaneum syn. Rhus)",""
"炭化材（ハゼノキ類近似種）","carbonized material or similar, wax tree (Toxicodendron succedaneum syn. Rhus)",""
"炭化材(ハマビワ､クスノキ科)","carbonized material Lauraceae camphor tree (Cinnamomum camphora)",""
"炭化材(バラ属)","carbonized material rose (Rosa sp.)",""
"炭化材(バラ科)","carbonized material Rosaceae",""
"炭化材(バラ科サクラ属)","carbonized material Rosaceae Cherry, plum etc (Cerasus, Prunus etc)",""
"炭化材(バラ科ナシ亜属)","carbonized material Rosaceae Pear (Pyrus sp.) Pear (Pyrus sp.)",""
"炭化材(バラ科ナシ亜科)","carbonized material Rosaceae Pear (Pyrus)=Maleae subfamily",""
"炭化材(ハリギリ)","carbonized material castor aralia (Kalopanax septemlobus)",""
"炭化材(ハルニレ)","carbonized material Japanese elm (Ulmus davidiana var. japonica)​",""
"炭化材(ハンノキ亜属)","carbonized material Japanese alder (Alnus japonica)​",""
"炭化材（ハンノキ亜属）","carbonized material Japanese alder (Alnus japonica)​",""
"炭化材(ハンノキ属)","carbonized material alder (Alnus sp.)​",""
"炭化材(ハンノキ属ハンノキ亜属、クリ)","carbonized material chestnut (Castanea crenata) Japanese alder (Alnus japonica)​ alder (Alnus sp.)​",""
"炭化材(ハンノキ属ハンノキ亜属)","carbonized material Japanese alder (Alnus japonica)​ alder (Alnus sp.)​",""
"炭化材(ハンノキ属ハンノキ節)","carbonized material alder (Alnus sp.)​ Japanese alder (Alnus japonica)​",""
"炭化材(ハンノキ属ヤシャブシ亜属)","carbonized material alder (Alnus sp.)​ alder yashabushi (Alnus firma)",""
"炭化材(ハンノキ節)","carbonized material Japanese alder (Alnus japonica)​",""
"炭化材(ヒイラギ?)",,"Needs translation"
"炭化材(ヒサカキ)","carbonized material Sakaki (Cleyera japonica)",""
"炭化材（ヒサカキ）","carbonized material, Sakaki (Cleyera japonica)",""
"炭化材(ヒサカキ属)","carbonized material Sakaki (Cleyera japonica)",""
"炭化材(ヒノキ)","carbonized material hinoki cypress (Chamaecyparis obtusa)",""
"炭化材（ヒノキ）","carbonized material, hinoki cypress (Chamaecyparis obtusa)",""
"炭化材(ヒノキorスギ)","carbonized material Japanese cedar (Cryptomeria japonica) hinoki cypress (Chamaecyparis obtusa)",""
"炭化材(ヒノキ属, クリ)","carbonized material chestnut (Castanea crenata) cypress (Chamaecyparis sp.)",""
"炭化材(ヒノキ属、カエデ属)","carbonized material cypress (Chamaecyparis sp.) maple (Acer sp.)",""
"炭化材(ヒノキ属、クリ、エゴノキ属)","carbonized material chestnut (Castanea crenata) cypress (Chamaecyparis sp.) snowbell tree (Styrax sp.)",""
"炭化材(ヒノキ属)","carbonized material cypress (Chamaecyparis sp.)",""
"炭化材(ヒノキ属類似)",,"Needs translation"
"炭化材(ヒノキ科、カエデ属)","carbonized material maple (Acer sp.) hinoki cypress (Chamaecyparis obtusa)",""
"炭化材(ヒノキ科)","carbonized material hinoki cypress (Chamaecyparis obtusa)",""
"炭化材(ヒノキ科アスナロ属)","carbonized material hatchet-leaved arbor-vitae (Thujopsis dolabrata) hinoki cypress (Chamaecyparis obtusa)",""
"炭化材(ヒバ)","carbonized material hiba (Thujopsis dolabrata)",""
"炭化材(ヒメバラモミ)","carbonized material Japanese Bush Spruce (Picea maximowiczii)",""
"炭化材(ヒルギ科?)",,"Needs translation"
"炭化材(ヒルギ科)",,"Needs translation"
"炭化材(ふいごの羽口付)(コナラ属アカガシ亜属)","carbonized material oak (Quercus sp.) Japanese evergreen oak (Quercus acuta)",""
"炭化材(フカノキ)",,"Needs translation"
"炭化材(フサザクラ)",,"Needs translation"
"炭化材(フジキ属)","carbonized material yellow-wood (Cladrastis sp.)",""
"炭化材(フタバガキ科)","carbonized material Dipterocarpaceae",""
"炭化材(ブナ属、クリ、コナラ属コナラ亜属コナラ節)","carbonized material chestnut (Castanea crenata) oak (Quercus sp.) Jolcham oak (Quercus serrata) beech (Fagus sp.)",""
"炭化材(ブナ属、コナラ属コナラ亜属クヌギ節)","carbonized material oak (Quercus sp.) saw-tooth oak (Quercus acutissima) beech (Fagus sp.)",""
"炭化材(ブナ属、コナラ属コナラ亜属コナラ節)","carbonized material oak (Quercus sp.) Jolcham oak (Quercus serrata) beech (Fagus sp.)",""
"炭化材(ブナ属、トネリコ属、カツラ)","carbonized material Ash (Fraxinus sp.) katsura (Cercidiphyllum japonicum) beech (Fagus sp.)",""
"炭化材(ブナ属)","carbonized material beech (Fagus sp.)",""
"炭化材（ブナ属）","carbonized material, beech (Fagus sp.)",""
"炭化材(ブナ科 クリ、シイ属、コナラ属コナラ節のいずれか)","carbonized material chestnut (Castanea crenata) oak (Quercus sp.) Jolcham oak (Quercus serrata) chinquapin (Castanopsis sp.) Fagaceae",""
"炭化材(ブナ科(コナラ節orクリ))",,"Needs translation"
"炭化材(ブナ科)","carbonized material Fagaceae",""
"炭化材（ブナ科クリ属）","carbonized material chestnut (Castanea crenata) Fagaceae",""
"炭化材(ブナ科クリ属クリ)","carbonized material chestnut (Castanea crenata) Fagaceae",""
"炭化材(ブナ科コナラ属アカガシ亜属)","carbonized material oak (Quercus sp.) Japanese evergreen oak (Quercus acuta) Fagaceae",""
"炭化材(ブナ科シイ属ツブラジイ)","carbonized material Japanese Chinquapin (Castanopsis cuspidata) chinquapin (Castanopsis sp.) Fagaceae",""
"炭化材(ブナ科ブナ属)","carbonized material Fagaceae beech (Fagus sp.)",""
"炭化材(フヨウ属ハマボウ節)",,"Needs translation"
"炭化材(マキ属)","carbonized material plum pine (Podocarpus sp.)​",""
"炭化材(マダケ)","carbonized material Japanese timber bamboo (Phyllostachys bambsoides)",""
"炭化材(マタタビ属)","carbonized material kiwi fruit (Actinidia sp.)",""
"炭化材(マツ?)","carbonized material pine (Pinus sp.)",""
"炭化材(マツ)","carbonized material pine (Pinus sp.)",""
"炭化材（マツの葉）",,"Needs translation"
"炭化材(マツ属?)","carbonized material pine (Pinus sp.)",""
"炭化材(マツ属)","carbonized material pine (Pinus sp.)",""
"炭化材（マツ属）","carbonized material, pine (Pinus sp.)",""
"炭化材(マツ属の根材)","carbonized material root pine (Pinus sp.)",""
"炭化材（マツ属単維管束亜属）","charred wood, pine (Pinus sp.) subgen single vascular",""
"炭化材(マツ属複維官束亜属)","carbonized material pine (Pinus sp.) subgen compound vascular",""
"炭化材(マツ属複維管属亜属)","carbonized material pine (Pinus sp.) subgen compound vascular",""
"炭化材(マツ属複維管束亜属･半径25mm)","carbonized material pine (Pinus sp.) subgen compound vascular",""
"炭化材(マツ属複維管束亜属, サクラ属)","carbonized material pine (Pinus sp.) Cherry, plum etc (Cerasus, Prunus etc) subgen compound vascular",""
"炭化材(マツ属複維管束亜属, モミ属)","carbonized material fir (Abies sp.) pine (Pinus sp.) subgen compound vascular",""
"炭化材(マツ属複維管束亜属、クスノキ科、モチノキ属近似種)","carbonized material or similar Lauraceae camphor tree (Cinnamomum camphora) pine (Pinus sp.) holly (Ilex sp.) subgen compound vascular",""
"炭化材(マツ属複維管束亜属:リュウキュウマツ)",,"Needs translation"
"炭化材(マツ属複維管束亜属:節)",,"Needs translation"
"炭化材(マツ属複維管束亜属)","carbonized material pine (Pinus sp.) subgen compound vascular",""
"炭化材（マツ属複維管束亜属）","carbonized material, pine (Pinus sp.) subgen compound vascular",""
"炭化材(マツ属複維管束亜属の一種)","carbonized material pine (Pinus sp.) subgen compound vascular",""
"炭化材(マツ科)","carbonized material pine (Pinus sp.)",""
"炭化材(マツ科）",,"Needs translation"
"炭化材(マツ科マツ属)","carbonized material pine (Pinus sp.)",""
"炭化材(マツ複維管属亜属)","carbonized material pine (Pinus sp.) subgen compound vascular",""
